pid,arrival_time,burst_time,priority,process_size,memory_usage,process_type,cpu_affinity
1,0,45,20,773,67,2,0
2,0,11,36,324,420,1,0
3,0,12,10,482,233,2,0
4,0,6,20,994,468,2,0
5,0,8,0,300,211,2,0
6,0,13,10,749,496,2,0
7,0,41,11,386,178,0,0
8,0,26,10,346,460,3,0
9,0,49,0,977,236,2,0
10,0,37,10,706,360,2,0
11,0,44,11,406,83,2,0
12,0,11,10,435,195,1,0
13,0,13,0,813,487,0,0
14,0,9,10,193,418,3,0
15,0,16,36,327,452,3,0
16,0,26,36,153,196,0,0
17,0,31,45,285,315,3,0
18,0,16,20,551,185,2,0
19,0,15,10,269,474,0,0
20,0,20,36,754,195,2,0
21,0,28,0,187,428,1,0
22,0,34,20,875,175,0,0
23,0,34,36,273,170,0,0
24,0,13,36,850,315,3,0
25,0,38,36,546,406,3,0
26,0,46,10,237,193,1,0
27,0,14,20,463,268,1,0
28,0,11,0,499,271,2,0
29,0,38,11,772,176,0,0
30,0,38,10,629,174,1,0
31,0,7,36,369,499,3,0
32,0,13,10,570,148,0,0
33,0,34,20,130,460,0,0
34,0,39,0,660,478,1,0
35,0,21,20,583,219,3,0
36,0,46,11,883,188,2,0
37,0,15,10,690,394,0,0
38,0,35,20,953,417,1,0
39,0,48,20,690,305,3,0
40,0,8,36,125,209,0,0
41,0,43,20,417,204,2,0
42,0,41,10,874,95,0,0
43,0,12,36,813,227,2,0
44,0,46,20,989,166,0,0
45,0,49,2,237,226,0,0
46,0,36,20,139,151,3,0
47,0,39,20,363,168,0,0
48,0,33,20,603,324,2,0
49,0,37,0,286,101,0,0
50,0,30,20,671,359,3,0
51,0,36,10,729,498,2,0
52,0,32,0,668,430,0,0
53,0,24,20,703,298,3,0
54,0,30,0,731,234,0,0
55,0,35,0,876,115,3,0
56,0,11,10,571,135,3,0
57,0,27,10,268,262,0,0
58,0,8,10,358,121,1,0
59,0,39,10,858,407,2,0
60,0,25,36,385,404,3,0
61,0,42,0,528,405,0,0
62,0,43,20,851,474,1,0
63,0,49,20,205,320,0,0
64,0,39,10,506,491,0,0
65,0,9,10,406,410,1,0
66,0,32,20,534,345,0,0
67,0,16,11,195,82,0,0
68,0,18,36,833,199,1,0
69,0,13,36,325,201,0,0
70,0,29,0,253,103,2,0
71,0,49,20,759,145,2,0
72,0,42,20,324,386,2,0
73,0,25,10,976,335,2,0
74,0,8,10,203,479,2,0
75,0,6,20,468,314,0,0
76,0,41,10,560,89,3,0
77,0,47,20,954,341,0,0
78,0,48,11,269,184,0,0
79,0,20,0,828,236,0,0
80,0,36,19,445,366,0,0
81,0,13,11,386,302,1,0
82,0,13,11,796,345,0,0
83,0,35,10,381,236,3,0
84,0,44,36,354,281,0,0
85,0,15,10,153,207,2,0
86,0,33,36,898,253,0,0
87,0,10,36,233,401,2,0
88,0,37,0,813,140,3,0
89,0,10,0,173,332,0,0
90,0,43,10,781,287,2,0
91,0,24,10,234,81,3,0
92,0,10,36,875,263,2,0
93,0,15,0,756,240,0,0
94,0,27,20,958,201,0,0
95,0,30,10,783,281,2,0
96,0,9,10,282,166,1,0
97,0,9,36,748,100,1,0
98,0,39,0,960,258,0,0
99,0,36,10,787,225,0,0
100,0,39,11,319,485,3,0
101,0,21,10,879,387,2,0
102,0,7,10,788,206,2,0
103,0,48,0,896,160,3,0
104,0,9,20,330,228,3,0
105,0,18,10,435,122,1,0
106,0,20,11,186,345,2,0
107,0,43,11,270,338,0,0
108,0,13,36,187,108,3,0
109,0,21,20,669,375,0,0
110,0,13,20,115,368,3,0
111,0,32,11,275,108,2,0
112,0,49,10,744,343,3,0
113,0,23,20,281,283,2,0
114,0,36,10,402,359,0,0
115,0,35,0,659,449,0,0
116,0,44,36,463,275,2,0
117,0,40,11,393,476,0,0
118,0,34,36,203,240,2,0
119,0,46,0,707,350,1,0
120,0,5,20,922,196,1,0
121,0,18,36,197,400,0,0
